Clean_Text,long,lat,sentiment
1 detained immigrants asylum cases are given priority so they can be completed in months rather than years though chance of a grant of asylum are much lower 2 ice credits detention itself for this and blames nondetention for the fact that cases go on for years,-77.0143985,38.89860285,-0.4767
1 migrant isnt a fascist word one might even say it existed before the 1930s2 legal definition of refugeeun has a wellfounded fear of persecution for reasons of race religion nationality political opinion or membership in a paicular social group,-121.9986445,37.973327,0.0577
1 vetting for refugees has ceainly increased  but my repoing has shown that the extra layers of screening have been politically driven by the white house and not  by real security risks,-77.0143985,38.89860285,-0.5653
10 prolife extends concern for all children including those of detained immigrants and asylum seekers,-122.63090815,45.536401749999996,-0.296
10 says hes lived here for 7 years as a refugee temporary protected status to know that us is better than the racists that feel empowered these days 44,-71.0887125,42.3136695,0.3182
105sie3 prageru dalailama refugees arent immigrants and the dalle lama said what refugee activists say,-92.5830908,34.592186749999996,0
14 pax inc 2 refugee pax from f3capefear gathered for a hurricane watch pay  but the only precipitation we found was sweat f3nation flowatch hurricaneflorence  tc,-82.5670075,35.539072499999996,-0.0516
15 of 19 911 hijackers were from saudi arabia as was bin ladenand they just murdered a journalistso ban syrian refugee children to make america safe againscholars,-117.90564549999999,33.6636085,-0.7269
150 can feed a palestine refugee family in gaza for 4 months  zerohunger sdg16 sdg2 worldfoodday,-73.8311875,40.670879549999995,0
17 state ags sue us attygeneral for not allowing political asylum to immigrants seeking asylum for nonpolitical reasons,-76.62751614999999,39.4939495,0
1718 gop have weakened healthcare womens rights free speech researchbased decisionmaking public education conservation of public lands refugee status minority citizenship tax revenues journalism amp more vote democratic amp reverse the creation of the us alagarchy,-89.2665075,39.7393005,0.4767
1776stonewall i love in ohio amp believe me hes johnkasich a total joke amp a complete moron when in comes 2 leadership hes as inept as they come hes 4 immigration amp increasing refugee population in oh hes clueless when it comes 2 economics he doesnt approve of or suppo trump,-82.66946745,40.365159500000004,0.1779
18 year old refugee rapist of mentally disabled girl given lighter sentences so we can be sure and not depo him we absolutely want to make share we keep a rapist of disabled people right,-97.1509985,32.960651,-0.7584
20 global companies announce new commitments to help address the refugee crisis  refugees withrefugees unga tentpanership,-77.0143985,38.89860285,-0.2263
20 yearold hamdia ahmed a somali refugee had the cops called on her by a dunkindonuts employee because she was speaking to her family in her native language let dunkin donuts know that these employees need to be fired amp hamdia deserves an apology,-118.4119065,34.0207895,-0.5267
2011zandy totally agree also believe our churches have been complicit however the catholic church isnt the only abuser the immigration debate has exposed how several denominations  are making hundreds of millions of dollars on immigrants amp refugee resettlements its a huge  maker,-84.237267,43.6358535,0.7729
2015welcome to europe soros adding fuel to the fire of eus refugee crisis via sputnikint,-76.0697995,38.769920299999995,-0.7579
22 chef tran a refugee who found himself in houston tx after the vietnam war is now the chefowner behind 7 asian restaurant concepts including this hong konginspired joint mein watch the full video featuring his house wonton noodle soup,-95.44648649999999,29.8384948,-0.34
22americanfirst i guess its not public record in ireland or the uk but its curious when they wont name the defendant typically the name of the offender is produced and by not including the name leaves us to wonder if hes a refugee amp most probably of the islamic faith,-91.0907995,30.45910005,0.5267
23 highlevel faith leaders have issued statements denouncing secpompeos announcement cutting refugee numbers to a historic low via interfaithimm welcome75k refugeeswelcome,-77.0143985,38.89860285,0.0516
23 million venezuelan refugees amp migrants have fled the humanitarian emergency created by maduro and his govt dsmolansky amp i discuss in postopinions how can receiving countries can make out of this an oppounity,-71.0887125,42.3136695,-0.15310000000000001
3 suvs for nigguhs dressed like refugee,-78.657837,35.8439812,0.3612
3 things i believe1 we have misunderstood the refugee experience2 we dont care about the poor and oppressed or restoring dignity to people who have had basic human rights stripped from them3 there is such a thing about righteous anger this calls for it,-86.791549,36.20000805,-0.8758
3alakaife 7amleh they may be eligible for registration by unwra  but they are not refugees and the un refugee convention or in the plain english dictionary sense of term,-118.4119065,34.0207895,0
500000 refugee girls at a minimumwere going to make sure theyre in secondary school and have the chance for higher education refugeeeducation unga,-73.9685415,40.780709,0.5106
5th grade teacher in alabama usa wants to connect with another class  first timer gra18 and super excited  advice welcome  i bought refugee and aboycalledbat  reading both,-88.1036805,30.818715500000003,0.8519
6 days until the gala here is our fouh award recipient together we will make the world a better place and inspire our generation for the next to achieve greatness night jean yves muhingaborefugeedreamcenter rhodeisland refugeeswelcome,-71.42183225,41.817084,0.8779
6 pax braved the 15mph winds and admired the fastmoving clouds for 33 miles at f3armor today and welcomed a paperboy refugee for pa of the time nokeysf3guitarhero prayed for the pets heavyf3metro stingerf3,-80.8467855,35.209059,0.8225
60 million refugees a crisis that has outgrown its 65yearold solution so current mankinds only solution to 65 million world refugees is to ignore them,-89.2665075,39.7393005,-0.4588
7 days until the gala here is our third award recipient madeline kerr who is an active member of the youth dream leaders committee dont forget to get your ticket link below refugeedreamcenter rhodeisland refugeeswelcome,-71.42183225,41.817084,0.8345
7ejaazii abyssinia lines  it was an area of prebuilt servant quaers which were allocated to refugee families in 1947  abyssinia was named as such because prior to 1947 the british kept their ethiopian servants there,-74.70517695,40.184116200000005,0
93x a little bit of soul refugee american girl,-89.2665075,39.7393005,0
93x give a little soul refugee american girl 3forfree,-87.732013,41.833584450000004,0
93x keep a little soul refugee american girl,-87.732013,41.833584450000004,0
93x linbrehmer maryldixon 93x new one refugee even the brewers,-87.732013,41.833584450000004,0
