,Clean_Text,place.country,coordinates,compound,type
3619,shannonmmiller curiscope hi  i would use it at the school health fair to teach refugee kiddos about health and our bodies,United States,"[[-111.992545, 40.9960278], [-111.9014536, 40.9960278], [-111.9014536, 41.060128], [-111.992545, 41.060128]]",0.3182,Positive
3620,yall remember when therock kicked it with the refugee camp,United States,"[[-117.954201, 33.625179], [-117.85709, 33.625179], [-117.85709, 33.702038], [-117.954201, 33.702038]]",0.0,Neutral
3621,day 6 my favorite book cover might have to be refugee alangratz you can see the struggle and the pov of a child refugee which automatically puts me in their place before i even sta the book impactful and impoant mgbooktober mg ,United States,"[[-98.2149552, 29.6454403], [-98.0315444, 29.6454403], [-98.0315444, 29.765788], [-98.2149552, 29.765788]]",0.1779,Positive
3623, lm a political refugee   mspaparazzi rahduzit nyc scarface akooclothing tiernyc  link in bio ,United States,"[[-87.940033, 41.644102], [-87.523993, 41.644102], [-87.523993, 42.0230669], [-87.940033, 42.0230669]]",0.0,Neutral
3624,if youre looking for a way to make a difference check this out right here thank for your work somiarid rise with rohingya children by nlg ,United States,"[[-122.2956, 37.983956], [-122.222315, 37.983956], [-122.222315, 38.035293], [-122.2956, 38.035293]]",0.3612,Positive
3627,prisonplanettv alllibeynews so senator collins is in complete agreement with the trump agenda so she condones putting refugee children in cages im embarrassed that she is from new england i hope she loses her 2020 election,United States,"[[-70.826636, 42.896601], [-70.794597, 42.896601], [-70.794597, 42.9273955], [-70.826636, 42.9273955]]",0.3182,Positive
3629,drmichaellbrown evangelicals by and large not only turn a blind eye to this antichrist tactic but embrace it same as they cheer his antiimmigrant and antirefugee ideals despite direct contradiction to the word this is why i cant call myself a conservative nor an evangelical anymore,United States,"[[-87.634643, 24.396308], [-79.974307, 24.396308], [-79.974307, 31.001056], [-87.634643, 31.001056]]",0.907,Positive
3630,got a late flight in met a crazy cool uberdriving refugee from iran and ate my body weight in pfchangs kung pao shrimp it was glorious im moving to boise,United States,"[[-116.374494, 43.510172], [-116.101508, 43.510172], [-116.101508, 43.685894], [-116.374494, 43.685894]]",0.6249,Positive
3635,kathygriffin go blow a refugee,United States,"[[-88.2380811, 42.32071], [-88.169051, 42.32071], [-88.169051, 42.3721342], [-88.2380811, 42.3721342]]",0.0,Neutral
3640,repping indivisible auroras immigrant and refugee rights team at icirr symposium  indivisibleil11 okieluma icirril icirr  immigrantandrefugeerightsarehumanrights indivisible ,United States,"[[-87.940033, 41.644102], [-87.523993, 41.644102], [-87.523993, 42.0230669], [-87.940033, 42.0230669]]",0.0,Neutral
3643,dont miss monday evenings eventtwo expes on the situation in syria and iraq will join the panel on women survivors in the refugee camps along the borders when october 8th at 7 pmwhere naus cline library auditorium ,United States,"[[-111.710027, 35.122005], [-111.560272, 35.122005], [-111.560272, 35.243495], [-111.710027, 35.243495]]",0.3907,Positive
3646,robbake39819007 moksha118 vofeurope chancers how many years and how many illegal immigrantrefugees are we into this event now and you believe that,United States,"[[-106.645646, 25.837092], [-93.508131, 25.837092], [-93.508131, 36.500695], [-106.645646, 36.500695]]",-0.5574,Negative
3648,alew222 jarrodmc3 michaelcoren except the refugee pa thats nonsense refugees,United States,"[[-117.282538, 32.53962], [-116.9274403, 32.53962], [-116.9274403, 33.0804044], [-117.282538, 33.0804044]]",-0.4019,Negative
3649,thatericalper refugee here comes my girl just in case anyone cares even the losers is the third track damn the torpedoes tom petty,United States,"[[-86.967333, 33.405025], [-86.620501, 33.405025], [-86.620501, 33.67945], [-86.967333, 33.67945]]",-0.5994,Negative
3650,krassenstein perfect place for some refugee families beats being put in those prison cells,United States,"[[-79.487651, 37.886607], [-74.986286, 37.886607], [-74.986286, 39.723622], [-79.487651, 39.723622]]",0.1027,Positive
3652,we were the poor minority east side kids who grew up in those poor st paul neighborhoods other people made fun of us because our refugee parents didnt speak english we always had each other though and its all we needed to make it out look at us now fam  ,United States,"[[-76.334287, 36.820791], [-76.177085, 36.820791], [-76.177085, 36.969373], [-76.334287, 36.969373]]",-0.4404,Negative
3653,johncornyn lets talk about being fair and the gop remember the daca kids remember we once had healthcare remember when we opened our arms to refugees and didnt cage babies remember we the people not only white men count before racism remember our presidents only scandal a tan suit,United States,"[[-79.76259, 40.477383], [-71.777492, 40.477383], [-71.777492, 45.015851], [-79.76259, 45.015851]]",-0.6908,Negative
3656,w jrchcbuffalony weve got a 6pt series on their impact on immigrant refugee and non immigrantrefugee communities in buffalosuppo programs like the priscilla project below by attending crafter hours on october 25,United States,"[[-78.912276, 42.826008], [-78.79485, 42.826008], [-78.79485, 42.966451], [-78.912276, 42.966451]]",0.3612,Positive
3658,i wonder if this crisis was pa of the initial plan to help disrupt and distract the eu from building more power on the world stage ,United States,"[[-82.0514184, 38.408293], [-81.978564, 38.408293], [-81.978564, 38.451392], [-82.0514184, 38.451392]]",-0.657,Negative
3677,apparently since i tweet about refugee crisis in europe and not the obscure murderrape cases in america exclusively perpetrated by white people that are already spammed and swarmed with controversy and attention from the msm im a bad person,United States,"[[-118.668404, 33.704538], [-118.155409, 33.704538], [-118.155409, 34.337041], [-118.668404, 34.337041]]",-0.8225,Negative
3682,teachers are our biggest ally to help refugee children learn and grow they must be heard watch the video to hearitfromteachers as we celebrate worldteachersday ,United States,"[[-77.119401, 38.801826], [-76.909396, 38.801826], [-76.909396, 38.9953797], [-77.119401, 38.9953797]]",0.7506,Positive
3684,brettness37 kristaiggy wholeheaedly agree but in this case id hesitate to classify it as tourism id lean hard toward the term medical refugee,United States,"[[-122.7900653, 45.421863], [-122.471751, 45.421863], [-122.471751, 45.6509405], [-122.7900653, 45.6509405]]",-0.3612,Negative
3685,refugeebut he has so many good ones ,United States,"[[-93.128629, 31.718432], [-93.043947, 31.718432], [-93.043947, 31.806051], [-93.128629, 31.806051]]",0.4902,Positive
3686,new member viettnguyen shares his story from refugee to academy at our celebration of as and humanities academyinduction ,United States,"[[-71.083689, 42.360621], [-71.083689, 42.360621], [-71.083689, 42.360621], [-71.083689, 42.360621]]",0.296,Positive
3687,galkamax appears to be a seaborne refugee crisis with asceainment occurring near origin or intended destination,United States,"[[-77.119401, 38.801826], [-76.909396, 38.801826], [-76.909396, 38.9953797], [-77.119401, 38.9953797]]",-0.6249,Negative
3691,self propelled boat challenge design challenge inspired by the novel refugee  can the boat move 4 feet and withstand hurricane force winds ramilochoa noddinelem steamusd usdlearns ,United States,"[[-122.035311, 37.193164], [-121.71215, 37.193164], [-121.71215, 37.469154], [-122.035311, 37.469154]]",0.7269,Positive
3695,innovative sma sustainable design for refugee housing way to go the netherlands ,United States,"[[-74.026675, 40.683935], [-73.910408, 40.683935], [-73.910408, 40.877483], [-74.026675, 40.877483]]",0.4404,Positive
3696,its good to see the emotion on landesbischofs face when he talks about his memories of welcoming refugees at german train stops in 2015 makes me feel like the refugee topic is still more than just another policy issue  at least for the german evangelical church gac18 ,United States,"[[-71.191421, 42.227797], [-70.986004, 42.227797], [-70.986004, 42.399542], [-71.191421, 42.399542]]",0.7717,Positive
3697,stanfordemed akhanxea projlifeline heabreaking but needs to be known stanfordem faculty akhanxea speaking truth to the effects of detention on immigrant children as a refugee who came to this country at age 3 with my parents i was not taken from them but see myself in those kids amp wonder how we got to this,United States,"[[-117.282538, 32.53962], [-116.9274403, 32.53962], [-116.9274403, 33.0804044], [-117.282538, 33.0804044]]",-0.0772,Negative
3698,the republicans are thevillianslook  any movie book folk tale tv show for 100 yearsthey lie mock the weak abusemolestrape women poor filth into our water and our sky rip refugee children from their parents and put them in concentration camps bestow power on criminals,United States,"[[-74.101395, 40.908544], [-74.038944, 40.908544], [-74.038944, 40.980598], [-74.101395, 40.980598]]",-0.91,Negative
3699,jdawsey1 zentaoprincess we dont need money for china stop spending on defense walls kidnapping and jailing refugee children you have no feelings zero you know it too youre sick and need resign you wont out run your life of crime which put you in office by having putin win 4 u the un laughed,United States,"[[-103.0026515, 33.615765], [-94.431332, 33.615765], [-94.431332, 37.002328], [-103.0026515, 37.002328]]",-0.6486,Negative
3705,exodus is the recipient of sunkingbrewing tip jar program for the first two weeks of october anyone who buys a beer or gets a growler filled and leaves a tip that tip will be donated to exodus so make sure you stop by the fishers tap room located on 96th st to suppo us ,United States,"[[-86.348441, 39.631677], [-85.937404, 39.631677], [-85.937404, 39.927448], [-86.348441, 39.927448]]",0.0972,Positive
3707, when reluctant readers want to read todays chapter a second time so they can understand it better  refugee alangratz swanton7 thepound ,United States,"[[-83.921282, 41.559463], [-83.786363, 41.559463], [-83.786363, 41.607357], [-83.921282, 41.607357]]",0.296,Positive
3708,nypd cops arrest congolese man for sitting in park wo accompanying child a refugee he had no id amp doest speak english well has no idea whats happening locked up for 2 days waiting for interpreter judge dismisses case in interest of justice thatshowtheygetyou propnyc,United States,"[[-74.041878, 40.570842], [-73.855673, 40.570842], [-73.855673, 40.739434], [-74.041878, 40.739434]]",0.4019,Positive
3709,new hearitfromteachers savechildren repo recommendations1 ensure refugee children return to learning within 3 months 2 provide psychosocial suppo 3 language suppo 4 prioritize inclusion 5 invest in teachers  worldteachersday,United States,"[[-77.0313795936902, 38.89712431471777], [-77.0313795936902, 38.89712431471777], [-77.0313795936902, 38.89712431471777], [-77.0313795936902, 38.89712431471777]]",0.3818,Positive
3710,moksha118 vofeurope i like what the italians did only to see the refugee boats move to spain and flood in uncontested the spanish government wants to give its people something else to think about other than independence from spanish rule,United States,"[[-106.645646, 25.837092], [-93.508131, 25.837092], [-93.508131, 36.500695], [-106.645646, 36.500695]]",0.3612,Positive
3711,kpbarrasso interactionorg calls for education to reach all refugee children hearitfromteachers worldteacherday ,United States,"[[-77.0313795936902, 38.89712431471777], [-77.0313795936902, 38.89712431471777], [-77.0313795936902, 38.89712431471777], [-77.0313795936902, 38.89712431471777]]",0.0258,Neutral
3712,moksha118 vofeurope i would have to say the incompetence of the bush and obama administrations is why the eu is flooded with refugees not that eu leaders did anything to stop it opening the borders to this flood humanity was a danger to every eu citizen,United States,"[[-106.645646, 25.837092], [-93.508131, 25.837092], [-93.508131, 36.500695], [-106.645646, 36.500695]]",-0.836,Negative
3713,it is unconscionable that in the midst of the greatest refugee crisis since wwii potus has slammed the door in the face of our most needy inhumanity is the legacy of realdonaldtrump ,United States,"[[-74.026675, 40.683935], [-73.910408, 40.683935], [-73.910408, 40.877483], [-74.026675, 40.877483]]",-0.3804,Negative
3714,22americanfirst i guess its not public record in ireland or the uk but its curious when they wont name the defendant typically the name of the offender is produced and by not including the name leaves us to wonder if hes a refugee amp most probably of the islamic faith,United States,"[[-91.218994, 30.354161], [-90.962605, 30.354161], [-90.962605, 30.5640391], [-91.218994, 30.5640391]]",0.5267,Positive
3716,we have become the ugliest that people can become world relief decries president trumps designation of 30000 refugee cap ,United States,"[[-80.7061029, 28.03518], [-80.637804, 28.03518], [-80.637804, 28.103875], [-80.7061029, 28.103875]]",-0.1779,Negative
3719,muhamadkhurshid asteadydecline whitehouse realdonaldtrump do you really think trump cares about people in other countries be glad youre not a refugee trying to migrate to this country trump has made us a laughing stock in the world ask other muslims what they think about trump you are the recipient of unintended consequences,United States,"[[-90.800234, 37.913276], [-90.725462, 37.913276], [-90.725462, 37.95386], [-90.800234, 37.95386]]",0.8578,Positive
3721,they just dont get it grassly etc just cannot hear what we are saying each time i hear about kavanaughs respected 12 years as a fed judge on the bench i am reminded the teenage refugee who found herself needing his persmission to terminate her pregnancy kavs time is up,United States,"[[-93.056248, 45.033056], [-92.980042, 45.033056], [-92.980042, 45.101902], [-93.056248, 45.101902]]",0.4767,Positive
3723,thread sharing this story again but with a few more details when jose crossed the border he told authorities he was a minor because he didnt have a bih ceificate the office of refugee resettlement turned to a dental exam to determine age  ,United States,"[[-118.668404, 33.704538], [-118.155409, 33.704538], [-118.155409, 34.337041], [-118.668404, 34.337041]]",0.2263,Positive
3726,albamonica flotus while refugee kids are in camps on our border  let them eat cake melania is on safari,United States,"[[-124.482003, 32.528832], [-114.131212, 32.528832], [-114.131212, 42.009519], [-124.482003, 42.009519]]",0.0,Neutral
3727,scavino45 realdonaldtrump flotus why does america have refugee camps for small kids separated from their families while flotus flies to africa is she wearing thousand dollar dresses thousand dollar pumps,United States,"[[-124.482003, 32.528832], [-114.131212, 32.528832], [-114.131212, 42.009519], [-124.482003, 42.009519]]",0.0,Neutral
3732,how cool love refugee it generates such empathy for the characters and for real life refugees ,United States,"[[-79.0075886, 35.866334], [-78.783292, 35.866334], [-78.783292, 36.115631], [-79.0075886, 36.115631]]",0.7579,Positive
3744,syrian refugee most refugees want to dominate europe and destroy christianity ,United States,"[[-123.011705, 45.488124], [-122.859355, 45.488124], [-122.859355, 45.573434], [-123.011705, 45.573434]]",-0.5302,Negative
3752,3 things i believe1 we have misunderstood the refugee experience2 we dont care about the poor and oppressed or restoring dignity to people who have had basic human rights stripped from them3 there is such a thing about righteous anger this calls for it ,United States,"[[-87.022482, 35.9945681], [-86.560616, 35.9945681], [-86.560616, 36.405448], [-87.022482, 36.405448]]",-0.8758,Negative
3753,jaybeestewee elizabex correction here is my refugee status from my,United States,"[[-87.634643, 24.396308], [-79.974307, 24.396308], [-79.974307, 31.001056], [-87.634643, 31.001056]]",0.0,Neutral
3754,jaybeestewee elizabex you and me both the reason for my name here is that my refugee status from my now unsafe homes of conservatism and evangelicalism,United States,"[[-87.634643, 24.396308], [-79.974307, 24.396308], [-79.974307, 31.001056], [-87.634643, 31.001056]]",0.0,Neutral
3760,nbcpolitics nancysinatra i bet lunch bucket joe cannot name one tyrant that is taking over his old boss successfully bombed 7 countries more than any president since ww2 libyasyria failed states isis filled the vacuum worst migrantrefugee crises in 75 yearsbiden was never good at thinking,United States,"[[-77.172219, 38.827378], [-77.031779, 38.827378], [-77.031779, 38.934311], [-77.172219, 38.934311]]",-0.7654,Negative
3761,svu is so difficult to watch tonight theyre tackling the forced separation of refugee families by the trump administration and its gutwrenching really illustrating just how evil this policy is,United States,"[[-84.3219475, 33.752879], [-75.40012, 33.752879], [-75.40012, 36.588118], [-84.3219475, 36.588118]]",-0.892,Negative
3763,how could jrs and iajunews  network any ideas on how could jesuit refugee service and the jesuit universities collaborate better and more what is happening already ausjal jesuitcolleges jrsusa jrseurope jesuitnetwork,United States,"[[-87.940033, 41.644102], [-87.523993, 41.644102], [-87.523993, 42.0230669], [-87.940033, 42.0230669]]",0.4404,Positive
3765,addtrump signed his memo cutting the refugee cap for 2019 to 30000 down from 45k the level pompeo announced last month without the legally required consultation with congress gop sen grassley said then that wh had willfully ignored that mandate,United States,"[[-98.778559, 29.141956], [-98.302744, 29.141956], [-98.302744, 29.693046], [-98.778559, 29.693046]]",-0.476,Negative
3766,dont miss our shootathon fundraiser help suppo this great team teamsolidelite basketball fundraiser shootathon fun  immigrant and refugee community organization ,United States,"[[-122.7900653, 45.421863], [-122.471751, 45.421863], [-122.471751, 45.6509405], [-122.7900653, 45.6509405]]",0.8896,Positive
3767,any other teachers reading refugee and using the website write around looking for another group of ss for my ss to have online discussionsconversations with grarefugee gra2018,United States,"[[-74.610114, 41.084879], [-74.5699379, 41.084879], [-74.5699379, 41.138186], [-74.610114, 41.138186]]",0.0,Neutral
3770,trump day 622senators review limited fbi repo302 kavanaugh protestors arrestedbacks off noko denuke timelinecuts refugee cap from 45k to 30kinterest rates reach multiyear highscotland golf club lost 45m in 17ny ag sues the trump foundation ,United States,"[[-98.778559, 29.141956], [-98.302744, 29.141956], [-98.302744, 29.693046], [-98.778559, 29.693046]]",-0.4767,Negative
3771,soegahhes tbabooks ill read it and add it to my order reading refugee right nowits great,United States,"[[-106.2330047, 31.654053], [-106.142139, 31.654053], [-106.142139, 31.726174], [-106.2330047, 31.726174]]",0.3182,Positive
3772,lowest refugee ceiling in american history so disappointingread jennyyangwr thread ,United States,"[[-90.310298, 34.982924], [-81.646901, 34.982924], [-81.646901, 36.678119], [-90.310298, 36.678119]]",-0.3818,Negative
3773,what a great week in the classroom reading refugee for gra2018 staed out with building prior knowledge with googles tour builder kids made amazing connections great way to integrate technology and literacy fpssuccess fpstechnology,United States,"[[-83.437523, 42.439001], [-83.316839, 42.439001], [-83.316839, 42.529556], [-83.437523, 42.529556]]",0.9186,Positive
3774,zafrankhanwazi1 imrankhanpti a live picture of an afghan refugee being fed by pakistani citizen ,United States,"[[-74.24953, 40.6752038], [-74.208684, 40.6752038], [-74.208684, 40.711314], [-74.24953, 40.711314]]",0.0,Neutral
3775,soektsa tacobell yes to both my grandparents lived in refugee camps from 194851 i can cook all of her recipes my best is hashweh minced lamb rice chickpeas onion spices pine nuts really delicious,United States,"[[-91.51308, 36.970298], [-87.019935, 36.970298], [-87.019935, 42.508303], [-91.51308, 42.508303]]",0.8622,Positive
3776,mgbooktober day 4 refugee by alangratz i could not put down very excited to host him in two weeks  mglit ,United States,"[[-77.321491, 38.798964], [-77.273962, 38.798964], [-77.273962, 38.827547], [-77.321491, 38.827547]]",0.4005,Positive
3777,dr cynthia maung on refugee care along the thaiburma border globalhealthmn publichealthumn umnmedschool ,United States,"[[-93.329515, 44.889964], [-93.194578, 44.889964], [-93.194578, 45.051257], [-93.329515, 45.051257]]",0.4939,Positive
3778,after maria the airpo became a type of refugee camp amazing presentation by profrivera giving context to hurricane maria places of recovery pueo rican access to healthcare and investment in mainland subcontractors rather than local pueo rican reconstruction effos ,United States,"[[-80.84654852, 35.50253497], [-80.84654852, 35.50253497], [-80.84654852, 35.50253497], [-80.84654852, 35.50253497]]",0.7351,Positive
3779,honored to read from aiww book humanity a collection of the aists quotes on the global refugee crisis openthedoors  uta aist space ,United States,"[[-118.4273439, 34.052559], [-118.371934, 34.052559], [-118.371934, 34.112434], [-118.4273439, 34.112434]]",-0.0772,Negative
3783,lycos and some of the other therapy dogs from pal went to the dhs refugee interview center today ,United States,"[[-77.119401, 38.801826], [-76.909396, 38.801826], [-76.909396, 38.9953797], [-77.119401, 38.9953797]]",0.0,Neutral
3784,we are deeply concerned regarding the admissions goal but we are committed to continuing to make indianapolis a welcoming and inclusive city for refugees let us continue to show love and suppo to the thousands of refugees we have welcomed over the last three years in indy,United States,"[[-86.348441, 39.631677], [-85.937404, 39.631677], [-85.937404, 39.927448], [-86.348441, 39.927448]]",0.9468,Positive
3785,piccoladonnina txsleuthusa nickiglesias6 rumournoel yakekoge zusia marilyncapps emilinalala jaybeestewee cagopunknown gaylebfromsocal peabodypress clinjones13 wahcamia las4libey kgexgop itsroseramirez icerinkmomma jamiew1776 calenev nyinla2121 bluehills50 elizabethmulhe3 tufchik cindyagonzalez joanneintexas carma2012 freedom528 sfloridastorm evanmcmullin standuprepublic there are actually trumpers who suppoed the admins zero tolerance policy separating childrennursing infants from their moms bc itd teach illegals a lesson amp deter them from coming to our country they dont think of these ppl seeking refugee status as humans deplorable,United States,"[[-104.910562, 38.741142], [-104.668092, 38.741142], [-104.668092, 39.035895], [-104.910562, 39.035895]]",0.296,Positive
3786,hey church if were sending teams out to essentially tour a handful of orphanages refugee camps etc for a week were doing missions wrong lets stop treating those less founate like museum exhibits were here to love and serve humans not to chase photo ops with them,United States,"[[-87.022482, 35.9945681], [-86.560616, 35.9945681], [-86.560616, 36.405448], [-87.022482, 36.405448]]",0.2782,Positive
3787,mrshaffemce the ethan i was before and refugee,United States,"[[-78.881022, 35.796927], [-78.786799, 35.796927], [-78.786799, 35.8707539], [-78.881022, 35.8707539]]",0.0,Neutral
3788,i moved here 20 years ago as a refugee i was about 6 years old and at the time about to learn my third language getting settled here was to say the least overwhelming for my ,United States,"[[-71.191421, 42.227797], [-70.986004, 42.227797], [-70.986004, 42.399542], [-71.191421, 42.399542]]",0.0,Neutral
3789,refugee trauma initiative in greeceexperienced practitioners native language cultural knowledge and lived experiences refugeetraumauk zarlashth zerotothre2018,United States,"[[-105.109815, 39.614151], [-104.734372, 39.614151], [-104.734372, 39.812975], [-105.109815, 39.812975]]",-0.4215,Negative
3790,aicle cited by dr kai at zerotothree2018 on mental health of syrian refugee children in turkey,United States,"[[-105.109815, 39.614151], [-104.734372, 39.614151], [-104.734372, 39.812975], [-105.109815, 39.812975]]",0.0,Neutral
3791,alangratz talking about new book grenade what happens when war comes to your country and you cant leave  a refugee in your own country  sounds so interesting ncslma18,United States,"[[-80.389019, 35.9341262], [-80.100949, 35.9341262], [-80.100949, 36.240211], [-80.389019, 36.240211]]",-0.0672,Negative
3792,news international    us and chinese warships narrowly avoid highseas collision     amsterdams plea visit but behave      better to drown a greek refugee camps epidemic of misery    via sjdailystar      ,United States,"[[-82.292185, 41.401871], [-82.096884, 41.401871], [-82.096884, 41.4852105], [-82.292185, 41.4852105]]",-0.8705,Negative
3795,and gives it to a muslim refugee who stabs ten people on the subway you left out that pa ,United States,"[[-112.0358612, 41.036355], [-111.8991709, 41.036355], [-111.8991709, 41.1287243], [-112.0358612, 41.1287243]]",-0.4404,Negative
3799,breakdown for fy19 refugee admissions to the usafrica                 11000east asia                4000europe and central asia         3000latin americacaribbean         3000near eastsouth asia          9000,United States,"[[-77.172219, 38.827378], [-77.031779, 38.827378], [-77.031779, 38.934311], [-77.172219, 38.934311]]",0.0,Neutral
3800,they made it to the us but as the country lets in fewer refugees will the rest of their family ever arrive,United States,"[[-122.0731031, 37.4946345], [-121.987627, 37.4946345], [-121.987627, 37.5634772], [-122.0731031, 37.5634772]]",0.0,Neutral
3803,we day if you want to make a better world youd better let your voice be heard the tacoma refugee choir is a nonauditioned choir united by the plight of refugees and the conviction that everyone has a voice to contribute wedaytacoma ,United States,"[[-122.5622146, 47.166863], [-122.3484729, 47.166863], [-122.3484729, 47.319058], [-122.5622146, 47.319058]]",0.836,Positive
3806,many statistically significant effects of two home visits over 12 months on child and parent outcomes dr hilado and colleagues refugeeone zerotothree2018,United States,"[[-105.109815, 39.614151], [-104.734372, 39.614151], [-104.734372, 39.812975], [-105.109815, 39.812975]]",0.2023,Positive
3807,realdonaldtrump potusi voted for you to fix our broken immigra system repeal immigration act of 1965 repeal refugee program repeal tps no lottery depo visa overstays build the wall no daca no asylum temp halt legal immig then enforce strict merit based w low s ,United States,"[[-77.480516, 37.307356], [-77.4001262, 37.307356], [-77.4001262, 37.391516], [-77.480516, 37.391516]]",-0.7579,Negative
3809,dr hilado is introducing us to the home visitors of refugeeone our though video and these folks are amazing,United States,"[[-105.109815, 39.614151], [-104.734372, 39.614151], [-104.734372, 39.812975], [-105.109815, 39.812975]]",0.5859,Positive
3812,we know that refugees who are new arrivals are less likely to see formal mental health services according to dr hilado refugeeone zerotothree2018,United States,"[[-105.109815, 39.614151], [-104.734372, 39.614151], [-104.734372, 39.812975], [-105.109815, 39.812975]]",0.0,Neutral
3815,senatemajldr thank you leader mcconnell  you said on the floor just now what so many americans are thinking my immigrant refugee parents came here in 48 amp i wish they were alive today to see this moment bless you for fighting for the judge amp for our nation,United States,"[[-75.7887564, 38.4510398], [-74.984165, 38.4510398], [-74.984165, 39.839007], [-75.7887564, 39.839007]]",0.7964,Positive
3817,olga garay english is leading the fordtheatres a cuban refugee came to the us at age 8,United States,"[[-118.668404, 33.704538], [-118.155409, 33.704538], [-118.155409, 34.337041], [-118.668404, 34.337041]]",0.0,Neutral
3840,dailycaller myplace4u ellison is relying on the heavy somali and muslim refugee population brought in under obama as a major poion of his voter base calculus,United States,"[[-95.823268, 29.522325], [-95.069705, 29.522325], [-95.069705, 30.1546646], [-95.823268, 30.1546646]]",0.0,Neutral
3845,lrihendry the nytimes fell in 20037 trillion dollarsmillions of livesrefugee crisismaga ,United States,"[[-82.758209, 27.694323], [-82.587597, 27.694323], [-82.587597, 27.8971155], [-82.758209, 27.8971155]]",0.0,Neutral
3864,the global climate refugee crisis has already begun ,United States,"[[-77.327307, 38.745249], [-77.227003, 38.745249], [-77.227003, 38.841994], [-77.327307, 38.841994]]",-0.6249,Negative
3873,the strangest thing is in a country that militarizes policing amp guns down unarmed black men rapes people amp land with impunity amp demonizes the poor the immigrant amp the refugeeold white men tell us the problem is a spirit of rebellion,United States,"[[-87.022482, 35.9945681], [-86.560616, 35.9945681], [-86.560616, 36.405448], [-87.022482, 36.405448]]",-0.8779,Negative
3876,they can come here under refugee status ,United States,"[[-114.818269, 31.3322463], [-109.0451527, 31.3322463], [-109.0451527, 37.004261], [-114.818269, 37.004261]]",0.0,Neutral
3882,lindsayell 24 hour straight sounds like our navy flight schedule ive done 108 straight refueling 35 times flying fully armed overwatch for child refugee camp however we both did it for the same cause helpless kids bless youus navy fa 18 driver,United States,"[[-86.550888, 36.3161629], [-86.3787946, 36.3161629], [-86.3787946, 36.428963], [-86.550888, 36.428963]]",0.6249,Positive
3883,dont miss our shootathon fundraiser help suppo this great team teamsolidelite basketball fundraiser shootathon fun  immigrant and refugee community organization ,United States,"[[-122.7900653, 45.421863], [-122.471751, 45.421863], [-122.471751, 45.6509405], [-122.7900653, 45.6509405]]",0.8896,Positive
3884,so marshmellomusic donated 500k to a foundation that suppo refugee and immigrant children but still have hateful comments on how it couldve gone to homeless americans i guess mello was right about you cant make everyone happy i applaud you for your contribution ,United States,"[[-118.668404, 33.704538], [-118.155409, 33.704538], [-118.155409, 34.337041], [-118.668404, 34.337041]]",-0.6482,Negative
3890,ridiculous conversation once a refugee is deemed a refugee it doesnt matter which of the 5 reasons she became one resettlement isnt about cherry picking christians are no more wohy of being saved than a muslim wiccan or atheist thehill ,United States,"[[-105.062023, 39.563868], [-104.973551, 39.563868], [-104.973551, 39.62983], [-105.062023, 39.62983]]",-0.2439,Negative
3891,kevinroose omfggrouphoppers is a thingthankfully kicked fb to curb years ago when i had to block my family during 2012 election and suburbia stepford families went onetomanyhaiti picture perfect refugee missionsnever mind  povey homeless vets etc in manicured backyards,United States,"[[-97.928935, 30.127892], [-97.5805133, 30.127892], [-97.5805133, 30.5187994], [-97.928935, 30.5187994]]",0.2023,Positive
3893,this 17yearold refugee grew up without shoes or food  now hes living out his pro basketball dreams kirstelaidan nba nbatwitter immigration ,United States,"[[-106.645646, 25.837092], [-93.508131, 25.837092], [-93.508131, 36.500695], [-106.645646, 36.500695]]",0.4019,Positive
3894,thrilled to join crisisgroup  inpursuitofpeace award dinner as we honor refugee olympic amp paralympic teams with the stephen j solarz award so proud of steve and nina solarz my inlaws ,United States,"[[-74.026675, 40.683935], [-73.910408, 40.683935], [-73.910408, 40.877483], [-74.026675, 40.877483]]",0.9601,Positive
3899,when the city of new york seizes trump tower for tax evasion i hope they turn it into a spanish language school and refugee resettlement center,United States,"[[-74.026675, 40.683935], [-73.910408, 40.683935], [-73.910408, 40.877483], [-74.026675, 40.877483]]",0.4404,Positive
3902,amymek mikey1701 basically they refugees want to ban alcohol not going to happen,United States,"[[-114.052999, 36.997905], [-109.041059, 36.997905], [-109.041059, 42.001619], [-114.052999, 42.001619]]",-0.5106,Negative
3904,powerful exhibit on the experience of being an immigrant and refugee on display on the 2nd floor of the brookwoodlibrary  hillsboro public library ,United States,"[[-123.011705, 45.488124], [-122.859355, 45.488124], [-122.859355, 45.573434], [-123.011705, 45.573434]]",0.4215,Positive
3907,lypat2 not sure was bundled with syrian refugee images 2014,United States,"[[-77.119401, 38.801826], [-76.909396, 38.801826], [-76.909396, 38.9953797], [-77.119401, 38.9953797]]",-0.2411,Negative
3913,ellievan65 time to go old man retire to somewhere far far away from real human beings and yeah you cosponsored chip in the distant past but what have you done in recently to fund that program or help american or refugee children,United States,"[[-83.200169, 39.832013], [-82.7713751, 39.832013], [-82.7713751, 40.157354], [-83.200169, 40.157354]]",0.631,Positive
3914,we have found hell pencil drawings show extent of trauma for refugee children at moria camp in lesbos greece miclimerick ,United States,"[[-122.324818, 37.8459532], [-122.234225, 37.8459532], [-122.234225, 37.905738], [-122.324818, 37.905738]]",-0.8126,Negative
